Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
2152	33824	Gpdh	Glycerol 3 phosphate dehydrogenase	Drosophila melanogaster					increase	A mutation that decreased Gpdh activity (59.6% of the wildtype) in flies increased lifespan by 20%. This difference in lifespan was also observed between mutant and wild type flies subjected to dietary restriction. 	anti		20	Mutation	
850	38453	Gr63a	Gustatory receptor 63a	Drosophila melanogaster		FBgn0035468		CG14979 Dmel\CG14979 DmGr63a GR63a Gr63F1	increase	Gr63a loss of function in female flies leads to extended lifespan, increased fat deposition, and enhanced resistance to some (but not all) environmental stresses. Lifespan extension was not observed in males. Overexpression of Gr63a had a modest negative effect on lifespan	anti		30	Deletion	
851	36927	GstS1	Glutathione S transferase S1	Drosophila melanogaster		FBgn0010226		CG8938 Dmel\CG8938 DmGst-2 DmGST-2 DmGST2 DmGSTS1 	increase	Increased average female lifespan (by 33%)   	pro		33	Overexpression	
852	36011	hebe	hebe gene product from transcript hebe-RD 	Drosophila melanogaster		FBgn0033448		CG1623 Dmel\CG1623	increase	Adult-specific overexpression of hebe increases lifespan by 5-30% and modulates late-age female fecundity.	pro		24	Overexpression	
2150	45875	Hex-A	Hexokinase A	Drosophila melanogaster					increase	A mutation that decreased Hex-A activity in flies increased lifespan by 10%. 	anti		10	Mutation	
2151	44008	Hex-C	Hexokinase C	Drosophila melanogaster					increase	A mutation that decreased Hex-C activity in flies increased lifespan by more than 6 days. When flies with mutant Hex-C were subjected to dietary restriction no further lifespan extension was displayed, lifespan was comparable to wild type flies under dietary restriction and flies with mutant Hex-C  under normal conditions. Thus decreased Hex-C activity triggers a dietary restriction like effect.	anti			Mutation	
337	35169	hk	hook	Drosophila melanogaster	Dm.2576	FBgn0001202		CG10653 dHk Dmel\CG10653	decrease	Loss-of-function mutation reduces maximum lifespan by 30%.	pro	30		Mutation	
1818	32080	hop	hopscotch	Drosophila melanogaster				4 CG1594 d-jak Dm JAK Dmel\CG1594 DmHD-160 HD-160 	decrease	Flies heterozygous for the gain-of-function hopTum-l mutation exhibited shortened lifespans compared with wild-type control flies.	pro	10	30	Mutation	
1818	32080	hop	hopscotch	Drosophila melanogaster				4 CG1594 d-jak Dm JAK Dmel\CG1594 DmHD-160 HD-160 	increase	Flies heterozygous for a loss-of-function hop allele, hop3, had longer lifespans.	pro	20	17	Mutation	
853	32133	Hsc70-3	Heat shock protein cognate 3	Drosophila melanogaster		FBgn0001218		anon-WO0138581.7 bip Bip BiP CG1579 CG4147 dhsc70 	increase	Increased average female lifespan (by 27%)   	pro		27	Overexpression	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	decrease	Reduced mean and maximal lifespan when overexpressed	anti			Overexpression	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	increase	TSA (Histone deacetylase (HDAC) inhibitor Trichostatin A (TSA)) could extend the lifespan of Drosophila melanogaster by promoting the hsp22 gene transcription, and affecting the chromatin morphology at the locus of hsp22 gene along the polytene chromosome.	pro			Epigenetic modification	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	increase	Overexpression increases mean lifespan by more than 30% and increases the premortality phase.	pro		30	Overexpression	
854	3772576	Hsp22	Heat shock protein 22	Drosophila melanogaster		FBgn0001223		22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG	decrease	Mean lifespan was reduced up to 21% upon doxycycline-regulated overexpression  of Hsp22, particularly at higher culture temperatures.	anti		21	Overexpression	
349	39075	Hsp26	Heat shock protein 26	Drosophila melanogaster	Dm.907	FBgn0001225		26 26K CG4183 Dmel\CG4183 DmHsp26 hsp 26 hsp26 HSP	increase	Overexpression increased stress resistance and extended the mean lifespan by 30%.	pro		30	Overexpression	
350	39078	Hsp27	Heat shock protein 27	Drosophila melanogaster	Dm.2803	FBgn0001226		27 27K 28 anon-WO0140519.69 CG4466 Dhsp27 Dmel\CG4	increase	Overexpression increased stress resistance and extended the mean lifespan by 30%.	pro		30	Overexpression	
2103	39071	Hsp67Bc	Heat shock gene 67Bc	Drosophila melanogaster					increase	Overexpression of Hsp67Bc led to a slight but statistically significant increase in lifespan (5%). In addition, Hsp67Bc was found to be effective in preventing toxic protein aggregation in a HSP70-independent manner. 	pro		6	Overexpression	
351	42852	Hsp68	Heat shock protein 68	Drosophila melanogaster	Dm.23337	FBgn0001230		68 CG5436 Dmel\CG5436 Hsp-68 hsp68 HSP68	increase	Overexpression extends lifespan.	pro			Overexpression	
351	42852	Hsp68	Heat shock protein 68	Drosophila melanogaster	Dm.23337	FBgn0001230		68 CG5436 Dmel\CG5436 Hsp-68 hsp68 HSP68	increase	Overexpression in somatic cells caused a 20% mean lifespan extension.	pro		20	Overexpression	
352		hsp70	Heat Shock Protein	Drosophila melanogaster					increase	Overexpression in transgenic flies extended lifespan. It is not clear which specific hsp70 gene the authors used in this experiment.	pro			Overexpression	
1013	44921	Hsp70Ba	Heat shock 70kDa protein 1A	Drosophila melanogaster		FBgn0013277		CG31449 dhsp70 dHsp70 Dm-hsp70 Dmel\CG31449 Hsp 70	decrease	Reduced mean and maximal lifespan (up to 30%) when overexpressed.	anti	30	30	Overexpression	
1013	44921	Hsp70Ba	Heat shock 70kDa protein 1A	Drosophila melanogaster		FBgn0013277		CG31449 dhsp70 dHsp70 Dm-hsp70 Dmel\CG31449 Hsp 70	increase	hsp70 and hsp22 RNA levels were higher in long-lived than in short-lived fly lines. The HDAC inhibitor TSA (causing a higher expression of hsp22and hsp70) strikingly influenced the lifespan in both long and short-lived lines, with variable degrees (up to 25%).	pro	16	25	Epigenetic modification	
1910	53573	Ilk	Integrin linked kinase	Drosophila melanogaster					increase	Both female and male heterozygous ILK (ortholog of worm PAT-4) mutants show extended lifespan.	anti		63	Mutation	
855	39150	Ilp2	Insulin-related peptide   	Drosophila melanogaster		FBgn0036046		CG8167 dilp Dilp DILP Dilp 2 dilp-2 dILP-2 Dilp-2 	increase	The ablated flies exhibited a significant increase in median and maximum lifespan over that of control flies and an increased resistance to oxidative stress and starvation.The mutants also exhibit increased storage of lipid and carbohydrate, reduced fecundity, and reduced tolerance of heat and cold.	anti	40	33.5	Deletion	
855	39150	Ilp2	Insulin-related peptide   	Drosophila melanogaster		FBgn0036046		CG8167 dilp Dilp DILP Dilp 2 dilp-2 dILP-2 Dilp-2 	increase	RNA interference resulted in a 24% to 47% increase in median lifespan compared to controls.	anti		47	RNA interference	
1756	31220	Ilp6	Insulin-like peptide 6	Drosophila melanogaster				CG14049 dilp Dilp DILP Dilp 6 dilp-6 dilp6 dILP6 D	increase	Conditional expression of dilp6 abdominal fat body extended lifespan in females maintained on a low-yeast diet but not on high-yeast diet. Conditional expression in head fat body modestly increased lifespan in females upon high-yeast diet but decreased it upon low-yeast diet. No detectable effect was seen for males on any diet. Conditional expression with ubiquitous drivers and ubiquitous RNAi resulted in shortened lifespan. Overexpression by a conditional pan-neuronal driver or fat body RNAi have no effect on lifespan.	pro		15.6	Overexpression	
1830	38513	ImpL2	Ecdysone-inducible gene L2	Drosophila melanogaster				CG15009 CT34862 Dmel\CG15009 GH28 Imp-12 Imp-L2 IM	increase	The flies over-expressing Imp-L2 survived for significantly longer, with a 23% increase in median survival time, indicating that increasing Imp-L2 increases oxidative stress resistance. Most importantly, over-expression of Imp-L2 using the hsGAL4 driver significantly extended the lifespan of female flies at 25C, with median lifespan extended by 15%, while the maximum lifespan remained unchanged with this driver. To examine adult-onset over-expression, we used the inducible Actin GeneSwitch (ActGS) driver. ActGS drives ubiquitous transgene expression but only in the presence of the RU486 steroid drug. Addition of RU486 to food had no effect on lifespan of ActGS or UAS-Imp-L2 controls, while in ActGS > UAS-Imp-L2 adult female flies it almost doubled the period where no deaths were observed and resulted in a 20% increase in median lifespan, as well as a smaller increase in maximal lifespan. Driving UAS-Imp-L2 expression with the dilp2GAL4 driver, expressed only in the mNSCs starting from the third-instar larval stage, significantly extended lifespan of female flies, prolonging the median survival time by ~10%.	pro		23	Overexpression	
1928	32343	inaE	inactivation no afterpotential E	Drosophila melanogaster					increase	Fly mutants (EP-element insertion), exhibiting up-regulation of DAGL, display extended lifespan (mean is 72% higher) and enhanced oxidative stress response. Complementarily, mutants exhibiting down-regulation of DAGL have a shortened lifespan (mean is 50% lower) and reduced oxidative stress resistance. Additionally, transgenic overexpression of DAGL results in increased mean lifespan (up to 41%).	pro		73	Overexpression	
366	40049	Indy	I'm not dead yet protein	Drosophila melanogaster	Dm.2528	FBgn0036816		anon-EST:fe3A7 anon-WO0172774.70 BEST:LP01220 CG39	increase	Flies heterozygotic for a disruption have extended mean (87-92%) lifespan and maximum lifespan (45%). Homozygotes for the disruption show only a 10-20% increase in mean lifespan.	anti	45	92	Knockout	
366	40049	Indy	I'm not dead yet protein	Drosophila melanogaster	Dm.2528	FBgn0036816		anon-EST:fe3A7 anon-WO0172774.70 BEST:LP01220 CG39	increase	Reduction of Indy leads to a significant lifespan extension (26% male and 11% female).	anti		26	Mutations	
366	40049	Indy	I'm not dead yet protein	Drosophila melanogaster	Dm.2528	FBgn0036816		anon-EST:fe3A7 anon-WO0172774.70 BEST:LP01220 CG39	noeffect	No effects of Indy on lifespan were observed after controlling for genetic background via backcrossing and Wolbachia infection.	none	
368	42549	InR	Insulin-like 1 receptor	Drosophila melanogaster	Dm.1271	FBgn0013984		18402 CG18402 DIHR DILR dinr dInr dInR dINR DInr D	increase	Mutations result in dwarf females with extended lifespan of up to 85% and dwarf males with reduced late age-specific mortality.	anti		85	Mutation	
2148	42358	Ire1	Inositol-requiring enzyme-1	Drosophila melanogaster					decrease	Whole body depletion of Ire1 using RNA interference reduced the lifespan of flies and negated the lifespan extending effects of dietary restriction. This effect was found to be tissue specific, Ire1 expression in the midgut is required for starvation tolerance and lifespan extension. 	pro			RNA interference	
856	53578	Jafrac1	Thioredoxin peroxidase 1	Drosophila melanogaster		FBgn0040309		1633 CG1633 cTPx Dmel\CG1633 DmTPx-1 dPrx I Dpx-47	increase	Neuronal overexpression of Jafrac1 significantly increased both mean and maximal lifespan, while neuronal knockdown of Jafrac1 , as well as the loss-of-function mutation, caused a reduction in lifespan of up to 30%.	pro	26	29	Overexpression	
856	53578	Jafrac1	Thioredoxin peroxidase 1	Drosophila melanogaster		FBgn0040309		1633 CG1633 cTPx Dmel\CG1633 DmTPx-1 dPrx I Dpx-47	increase	Overexpression caused a 15% mean lifespan extension.	pro		15	Overexpression	
2090	34624	JhI-21	CG12317-PA	Drosophila melanogaster					increase	Flies were subjected to several control diets: sucrose only, yeast only and fixed diet. Flies were also subjected to a choice diet. JhI-21 mutants on a fixed diet showed a modest increase in lifespan of 13%. When JhI-21 mutants were aged in a choice environment there was a 32% increase in mean lifespan.	anti		32	Deletion	
859	42062	Keap1	CG3962 gene product from transcript CG3962-RA	Drosophila melanogaster		FBgn0038475		CG3962 dkeap1 dKeap1 dKEAP1 Dmel\CG3962 keap1 KEAP	increase	Male keap1 heterozygotes lived significantly longer than their otherwise genetically identical siblings. Female keap1 heterozygotes did not show significant differences in either paraquat resistance or longevity.	anti		10	Mutations	
860	46027	kermit	CG11546	Drosophila melanogaster		FBgn0010504		BEST:LD04728 CG11546 dGIPC dKermit Dmel\CG11546 l(	decrease	Disruption of dGIPC (kermit) function results in premature loss of locomotor activity and reduced mean life span.	pro		30	Mutations	
1913	40680	kra	krasavietz	Drosophila melanogaster					increase	Transgenic expression of ECP (KRA) results in decreased median lifespan by 25% for males and 6% for females, while knockdown of ECP (RNA interference) results in an increased median lifespan by 18-25% in males and 16-21% in female flies. 	anti		25	RNA interference	
861	42063	kuk	kugelkern	Drosophila melanogaster		FBgn0038476		CG5175 char Dmel\CG5175 Kuk kuk/char	decrease	Overexpression of kugelkern in the adult muscle resulted in a 60% reduction of mean life span.	anti			Overexpression	
198	249462	l(3)DTS3	lethal (3) DTS3	Drosophila melanogaster				DTS-3 L(3)3[DTS] l(3)3[DTS]	increase	Female, but not male, heterozygous mutants display a 42% increase in mean lifespan.	anti		42	Mutation	
862	46260	l(3)neo18	l(3)neo18	Drosophila melanogaster		FBgn0011455		CG9762 Dmel\CG9762	increase	In females, RNAi increased mean life span by 14-18% when done both during development and adulthood in the whole organism and by 8-24% when done in the neurons. In males, the effect is more variable. A consistent increase (8-18%) was however observed for whole organism RNAi, in adults.	anti		24	RNA interference	
863	37482	LBR	Lamin B receptor	Drosophila melanogaster		FBgn0034657		CG17952 dLBR Dmel\CG17952	decrease	Overexpression of lamin B receptor in the adult muscle and in the abdominal fat body, resulted in a 54% and respectively 46% reduction of mean life span.	anti			Overexpression	
2236	12798012	let-7	let-7	Drosophila melanogaster						Ubiquitous overexpression of let-7 increased median lifespan by 8% in female fruit flies. Adult specific neuronal overexpression of let-7 increased median lifespan in females 22%. Ubiquitous and neuronal expression decreased lifespan in males. 				Overexpression	
864	43130	Lnk	CG17367 gene product from transcript CG17367-RC	Drosophila melanogaster		FBgn0028717		CG 17367 CG17367 CG5908 Dmel\CG17367 dSH2B lnk	increase	Loss of Lnk function results in increased median and maximum lifespan, reduces female fecundity and improves survival under conditions of oxidative stress and starvation. Heterozygosity did not result in any significant differences in lifespan in either males or females. Additionally, lifespan extension observed in one of the female homozygous mutant was fully rescued by the introduction of a Lnk genomic rescue construct.	anti		17.5	Mutations	
864	43130	Lnk	CG17367 gene product from transcript CG17367-RC	Drosophila melanogaster		FBgn0028717		CG 17367 CG17367 CG5908 Dmel\CG17367 dSH2B lnk	increase	Disruption of dSH2B (lnk) decreases insulin-like signaling and somatic growth in flies, and dSH2B deficiency increased hemolymph carbohydrate levels, whole-body lipid levels, lifespan (in both males and females), and resistance to starvation and oxidative stress. Systemic overexpression of dSH2B results in the opposite phenotypes.	anti	15	33	Mutation	
865	42672	loco	locomotion defects	Drosophila melanogaster		FBgn0020278		CG17229 CG5248 dLoco Dmel\CG5248 Loco	increase	Reduced expression of Loco, a RGS protein of Drosophila melanogaster, resulted in a longer lifespan for both hetero-deficient male and female flies, also exhibiting stronger resistance to three different stressors (starvation, oxidation, and heat) and higher manganese-containing superoxide dismutase (MnSOD) activity. In addition, this reduction in Loco expression increased fat content and diminished cAMP levels. Deletion analysis of the Loco demonstrated that its RGS domain is required for the regulation of longevity. 	anti		20	Knockout	
865	42672	loco	locomotion defects	Drosophila melanogaster		FBgn0020278		CG17229 CG5248 dLoco Dmel\CG5248 Loco	decrease	Overexpression of both genomic and cDNA loco gene significantly shortened the lifespan and resulted in a reduced stress resistance and lower fat content. 	anti		20	Overexpression	
419	3355130	lt	light	Drosophila melanogaster	Dm.1800	FBgn0002566		CG18028 Dm-lt(het) Dmel\CG18028 l(2)40Fb Lt	decrease	Loss-of-function mutation reduces maximum lifespan by 10%.	pro	10		Mutation	
1903	33529	Mad	Mothers against dpp	Drosophila melanogaster					decrease	Post developmental RNA interference of Mad decreases lifespan.	pro		22.2	Post developmental RNA interference	
867	36048	magu	magu  gene product from transcript magu -RD	Drosophila melanogaster		FBgn0262169		CG2264 CT7504 Dmel\CG2264 pent PENT	increase	Adult-specific overexpression of magu increases lifespan by 5-30% and modulates late-age female fecundity.	pro		5.3	Overexpression	
1979	47173	Men	Malic enzyme	Drosophila melanogaster	1769			anon-WO0118547.278 CG10120 Dmel\CG10120 MDH Mdh-NA	increase	Ubiquitous and constitutive overexpression of the malic enzyme (Men), during the larval period, extends the maximum lifespan of fruit flies by 24% in males and by 39% in females. Contrastly, Men overexpression in the adult abdominal fat body does not affect lifespan.	pro	39	45	Overexpression	
2172	12798013	mir-125	mir-125 stem loop	Drosophila melanogaster					decrease	Mir-125 loss of function mutant flies demonstrated decreased lifespan. The flies had behavioural and morphological changes normally seen in older flies, including increased neurodegeneration. 	pro			Mutation	
2174	12798384	mir-14	mir-14 stem loop	Drosophila melanogaster					decrease	Deletion of mir-14 decreased mean and maximal lifespan in flies. The greatest decrease was seen in female flies. Most larvae lacking mir-14 died during pupal development and were more susceptible to being killed by salt stress. 	pro			Deletion	
2237	12798434	mir-184	mir-184 stem loop	Drosophila melanogaster					decrease	Ubiquitous overexpression of mir-184 decreased lifespan in flies regardless of diet. 	anti			Overexpression	
2170	12798086	mir-277	mir-277 stem loop	Drosophila melanogaster					increase	Flies overexpressing miR-277 demonstrated a decrease in lifespan. The decrease in lifespan was consistent between male and female flies and on different dietary regimes. Additionally, flies expressing a mutant form of miR-277 demonstrated a significantly longer lifespan than wild type flies and flies overexpressing miR-277 (70%).	anti		70	Mutation	
2176	12798087	mir-34	mir-34 stem loop	Drosophila melanogaster					decrease	Mir-34 loss of function mutant flies were normal as young adults but with age demonstrated deficits reflective of much older flies. The mutants had shortened lifespan, loss of locomotion, stress sensitivity and brain deterioration compared to wild type animals. 	pro			Mutation	
868	35523	mle	Maleless	Drosophila melanogaster		FBgn0002774		CG11680 Dmel\CG11680 mak MLE mll mls nap nap[ts]	decrease	Homozygous mutant flies (mle napts) display a shortened median lifespan and increased frailty in both males and females.	pro		47.5	Mutations	
869	40849	Mlp84B	Muscle LIM protein at 84B	Drosophila melanogaster		FBgn0014863		CG1019 DLim-3 Dmel\CG1019 DmLIM-3 dMlp84B Mlmu84B 	decrease	Male flies expressing mlp84B RNAi in the heart display bradycardia and heart rhythm abnormalities and have a shortened mean lifespan compared with controls. No lifespan reduction was observed in females.	pro		35	RNA interference, Knockdown	
439	31331	Mnt	CG13316-PC, isoform C	Drosophila melanogaster	Dm.7389	FBgn0023215		bHLHe43 CG13316 CG2856 dMad Dmel\CG13316 DmMnt dmn	decrease	A dMnt null allele results in flies with larger cells, increased weight, and decreased lifespan.	pro			Knockout	
439	31331	Mnt	CG13316-PC, isoform C	Drosophila melanogaster	Dm.7389	FBgn0023215		bHLHe43 CG13316 CG2856 dMad Dmel\CG13316 DmMnt dmn	increase	Mnt overexpression in flies lowers climbing defects and increases both median and maximum lifespan.	pro	20	35	Overexpression	
1832	42866	Mpk2	CG5475-PA	Drosophila melanogaster				CG5475 D-MPK2 D-p38 D-p38 MAPK D-p38a D-P38a Dmel\	decrease	p38K-DKO adult flies appeared normal on eclosion but had a severely reduced lifespan. ingle mutants of p38Ka (p38Kadel) or p38Kb (p38Kd45) also had significantly reduced lifespan, with the loss of p38Kb resulting in a stronger phenotype.	pro		40	Mutation	
1874	41387	Mrp4	Multidrug resistance protein 4 ortholog	Drosophila melanogaster					decrease	Compared to wild-type controls, dMRP4 mutant flies have a much shorter mean lifespan (by about 47%) and a decreased in maximum lifespan (by 24%). 	pro	24	47	Mutation	
1874	41387	Mrp4	Multidrug resistance protein 4 ortholog	Drosophila melanogaster					increase	Flies overexpressing dMRP4 have an increased mean lifespan of up to 16% and an increased maximum lifespan of up to 8%.	pro	8	16	Overexpression	
186	34632	Mt2	DNA methyltransferase 2	Drosophila melanogaster	Dm.4825	FBgn0028707		CG10692 dDNMT dDnmt2 dDNMT2 Dmel\CG10692 DmMT2 Dnm	increase	Overexpression extended lifespan.	pro			Overexpression	
870	39089	MTF-1	Metal response element-binding Transcription Factor-1	Drosophila melanogaster		FBgn0040305		anon-WO0118547.411 CG3743 Dmel\CG3743 dMTF-1 mtf-1	increase	Both mean and maximal lifespan of male flies was extended upon MTF-1 overexpression in either the peripheral nervous system or motorneurons	pro	40	40	Overexpression	
447	38058	mth	methuselah	Drosophila melanogaster	Dm.4379	FBgn0023000		CG6936 Dmel\CG6936 Mth MTH	increase	Mutants displayed approximately 35 percent increase in average lifespan and enhanced resistance to various forms of stress.	anti		35	Mutation	
447	38058	mth	methuselah	Drosophila melanogaster	Dm.4379	FBgn0023000		CG6936 Dmel\CG6936 Mth MTH	increase	Overexpression of Methuselah (MTH) in the insulin-producing cells of the brain, extends lifespan and enhances stress resistance in flies. Mean lifespan is increased by 12-16% in males and 14-21% in females, while maximum lifespan is increased by 9-28% in males and 25-33% in females. Paradoxically, the same experiment showed that reducing the signaling through MTH has also similar effects. 	pro	33	21	Overexpression	
447	38058	mth	methuselah	Drosophila melanogaster	Dm.4379	FBgn0023000		CG6936 Dmel\CG6936 Mth MTH	increase	Reducing signaling through Methuselah (MTH), targeted to the insulin-producing cells of the brain, extends lifespan and enhances stress resistance in flies. RNA interference results in a mean extension of 27% in females and 29% in males, while maximum lifespan is extended by 37%  and 50% in males and females respectively. Paradoxically, overexpressing MTH in the same cell type has also similar effects.	anti	50	29	RNA interference	
2070	40436	mub	mushroom-body expressed	Drosophila melanogaster					increase	Insertion of a p-element in the mub gene results in longer lived mutants for both sexes. Revertant alleles, in which the p-element was excised displayed reverted lifespan similar to that of the controls.	anti		21.4	Mutation	
1880	43811	myo	myoglianin	Drosophila melanogaster					increase	Similarly to Mnt, Myoglianin (myo) overexpression in flies lowers climbing defects and increases both median and maximum lifespan. Contrastly, RNAi against myoglianin shortens median lifespan and results in more age-related climbing defects.	pro	20	25	Overexpression	
451	44885	mys	myospheroid	Drosophila melanogaster	Dm.1814	FBgn0004657		beta-int beta-Int beta-integrin beta-PS beta1 beta	increase	Mutants exhibit ameliorated age-related declines in locomotor activity and an increase in mean lifespan of 20%.	anti		20	Mutation	
451	44885	mys	myospheroid	Drosophila melanogaster	Dm.1814	FBgn0004657		beta-int beta-Int beta-integrin beta-PS beta1 beta	increase	Heterozygous MYS (beta-integrin) female mutants display extended median and maximum lifespan.	anti		44	Mutation	
871	42348	Naam	Naam gene product from transcript Naam-RA	Drosophila melanogaster		FBgn0051216		AAM52663 anon-WO0172774.59 anon-WO0172774.60 CG312	increase	An increase in mean and maximal lifespan was observed for both male and female flies. The lifespan extension was reversed in Sir2 mutants, suggesting that the extension is Sir2 dependent.	pro	30	30	Overexpression	
1898	31762	ND75	NADH:ubiquinone reductase 75kD subunit precursor	Drosophila melanogaster					increase	Mitochondrial perturbation through a weak muscle-specific RNA interference of ND75 increases lifespan and preserves locomotory ability. Contrarly, a strong RNA interference of ND75 in the muscle resulted in a developmental arrest around 2 days after egg deposition, with severe myonuclear disintegration and a severely reduced lifespan.	anti	19	15	RNA interference	
459	43149	Nf1	Neurofibromin 1	Drosophila melanogaster	Dm.4313	FBgn0015269		CG8318 Dmel\CG8318 dNF1 Nf-1 NF-1 nf1 NF1	increase	NF1 mutants had a shortened lifespan and exhibited increased vulnerability to heat and oxidative stress as well as reduced mitochondrial respiration and elevated ROS production. Overexpression of NF1 increased mitochondrial respiration and reduced ROS production. It increased mean lifespan by 49% in males and 68% in females and maximum lifespan by 38% in males and 52% in females. It also improved reproductive fitness.	pro	52	68	Overexpression	
872	33324	NLaz	Neural Lazarillo	Drosophila melanogaster		FBgn0053126		BcDNA:RE67583 CG16933 CG33126 CT33980 Dmel\CG33126	decrease	Absence of Nlaz, an homologue of ApoD, leads to reduced lifespan in both sexes compared to wild type flies.	pro	30	30.8	Mutations	
