Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
2098	47895	Nmdmc	NAD-dependent methylenetetrahydrofolate dehydrogenase	Drosophila melanogaster					increase	When Nmdmc was ubiquitously overexpressed in flies mean lifespan was increased. Specific expression of Nmdmc in the body abdominal fat led to an increase in lifespan of 23% in males and 14% in females. In addition the flies were found to be more resistant to various stresses including starvation, oxidation and heat. 	pro		120	Overexpression	
1924	42018	NPF	neuropeptide F	Drosophila melanogaster					decrease	Activation of npf-expressing neurons using a temperature-sensitive TRPA1 channel results in decreased resistance to starvation and a decreased lifespan. 	anti		25	Overexpression	
483	40650	Orco	Odorant receptor co-receptor	Drosophila melanogaster	Dm.25037	FBgn0037324		83A.2 83b A45 CG10609 Dmel\CG10609 DOR45 DOR83b OR	increase	Loss-of-function mutation resulted in olfactory defects, altered adult metabolism, enhanced stress resistance, and life-extension. Female Or83b2 mutant flies showed a 56% increase in median lifespan and a 30% increase in maximum lifespan. Males were also long-lived, though to a smaller degree and maximum lifespan was not extended. Heterozygous mutants of both sexes showed an intermediate longevity. Dietary restriction further extended lifespan.	anti	30	56	Mutation	
2216	5009	OTC	ornithine carbamoyltransferase	Drosophila melanogaster					increase	Overexpressing a misfolded variant of human OTC in flies increased median lifespan by 21% and maximum lifespan by 14%. 	pro	14	21	Overexpression	
488	31429	ovo	CG6824-PA	Drosophila melanogaster	Dm.1677	FBgn0003028		CG15467 CG6824 Dmel\CG6824 Fs(1)K1103 fs(1)K1237 F	increase	The dominant ovoD1 allele extends female lifespan by approximately 50%. It does not synergize or prevent life-extension caused by chico.	anti		50	Mutation	
1831	34780	p38b	CG7393-PA	Drosophila melanogaster				186F5S anon-sts23 BG:DS00797.3 CG7393 D-p38 D-p38 	decrease	p38K-DKO adult flies appeared normal on eclosion but had a severely reduced lifespan. ingle mutants of p38Ka (p38Kadel) or p38Kb (p38Kd45) also had significantly reduced lifespan, with the loss of p38Kb resulting in a stronger phenotype.	pro		60	Mutation	
489	2768677	p53	CG33336-PA	Drosophila melanogaster	Dm.3257	FBgn0039044		CG10873 CG31325 CG33336 D-p53 Dm-P53 Dmel\CG33336 	increase	Expression of dominant-negative versions of p53 in adult neurons extended lifespan by 58% in females and 32% in males and increased resistance to genotoxic stress.	anti		58	Dominant negative mutation	
489	2768677	p53	CG33336-PA	Drosophila melanogaster	Dm.3257	FBgn0039044		CG10873 CG31325 CG33336 D-p53 Dm-P53 Dmel\CG33336 	increase	Expression of dominant-negative (DN) forms of Dmp53 in adult neurons, but not in muscle or fat body cells, extends median lifespan by 19% and maximum lifespan by 8%. The lifespan of calorie-restricted flies is not further extended by simultaneously expressing DN-Dmp53 in the nervous system, indicating that a decrease in Dmp53 activity may be a part of the CR lifespan-extending pathway in flies. Selective expression of DN-Dmp53 in only the 14 insulin-producing cells (IPCs) in the brain extends lifespan to the same extent as expression in all neurons and this lifespan extension is not additive with CR. 	anti	8	19	Mutation	
1843	40336	park	parkin	Drosophila melanogaster				CG10523 Dmel\CG10523 Dpark dpk SD01679	increase	Ubiquitous or neuron-specific up-regulation of Parkin, in adult Drosophila melanogaster, increases both mean and maximum lifespan without reducing reproductive output, physical activity, or food intake. Long-lived Parkin-overexpressing flies display an increase in K48-linked polyubiquitin and reduced levels of protein aggregation during aging.	pro	28	28	Overexpression	
498	40668	Pcmt	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	Drosophila melanogaster	Dm.4629	FBgn0086768		CG2152 Dmel\CG2152 dPIMT pcmt Pimt PIMT	increase	Overexpression extended lifespan by 32-39% at 29 degrees but not at 25 degrees.	pro		39	Overexpression	
498	40668	Pcmt	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	Drosophila melanogaster	Dm.4629	FBgn0086768		CG2152 Dmel\CG2152 dPIMT pcmt Pimt PIMT	increase	Adult lifespan of flies with overexpressed pcmt was extended.	pro			Overexpression	
873	40293	Pex16	peroxin 16	Drosophila melanogaster		FBgn0037019		CG3947 DmelPex16 Dmel\CG3947 pex16	decrease	Mutant flies lack normal peroxisomes, have an reduced adult body size (70%-85% smaller than controls) and rozy eyes, show locomotion defects and defects in the development of the nervous system. The mean longevity of the females was reduced to one-third (data not shown) and that of the males to one-fourth of the wild-type lifespan. The shortened lifespan was rescued by the simultaneous overexpression of pex16 in the fat body and differentiated neurons.	pro		75	Mutations	
2219	31143	Pgam5	Phosphoglycerate mutase 5	Drosophila melanogaster					decrease	Knock-down of PGAM5 in flies esulted in a 9% decrease in median lifespan. 	pro		9	RNA interference	
874	42446	Pi3K92E	CG4141 gene product from transcript CG4141-RA	Drosophila melanogaster		FBgn0015279		anon-92Ed CG4141 Dmel\CG4141 Dmp110 dp110 dP110 Dp	decrease	Overexpression of a dominant-negative PI3Kinase (DP110) resulted in mutants that have impaired regeneration of the intestinal epithelium and are short lived.	pro		5	Knock-down	
2010	31607	Pink1	PTEN-induced putative kinase 1	Drosophila melanogaster					increase	Transgenic overexpression of Pink1 results in an increase in mean lifespan (18%) mean = 72 days) when compared to wild-type controls. This effect is enhanced even more (up to 41%) when alpha-synuclein is also overexpressed. In both cases, lifespan extension is accompanied by an increase in healthspan. 	pro		18	Overexpression	
507	34284	Pka-C1	cAMP-dependent protein kinase 1	Drosophila melanogaster	Dm.2136	FBgn0000273		6353 BG02142 C CdkA CG4379 Cos Cos-1 cos1 Cos1 Dc0	increase	PKA-overexpressing flies (hsPKA*/+) have an about 30% extended maximum lifespan.	pro	30		Overexpression	
514	36990	POSH	Plenty of SH3s	Drosophila melanogaster	Dm.3323	FBgn0040294		155116_at BEST:GM09451 CG4909 Dmel\CG4909 dPOSH DP	increase	Neural-specific overexpression of DPOSH extends the mean lifespan of adult flies by 14%.	pro		14	Overexpression	
1923	32731	ppk23	pickpocket 23	Drosophila melanogaster					decrease	Acute, targeted activation of ppk23-expressing neurons using a temperature-sensitive TRPA1 channel results in decreased resistance to starvation and a decreased lifespan. 	anti		4	Overexpression	
1925	32671	ppk28	pickpocket 28	Drosophila melanogaster					increase	Female ppk28-null mutant flies display an increase in mean (up to 44%) and maximum lifespan in two different genetic backgrounds (w and yw). Loss of ppk28 also extended male lifespan in both genetic backgrounds, although to a lesser degree.	anti	25	44	Mutation	
2230	37123	Prp19	Pre-RNA processing factor 19	Drosophila melanogaster					increase	Adult specific overexpression of Prp19 increased lifespan in female fruit flies by up to 25%. In addition to this, DNA damage was reduced and resistance to oxidative damage and genotoxic stress was increased. Male lifespan was not significantly affected by Prp19 overpexression. 	pro		25	Overexpression	
875	3771951	Prx5	Peroxiredoxin 5	Drosophila melanogaster		FBgn0038570		CG 32920 CG 7217 CG32920 CG7217 Dmel\CG7217 dprx5 	increase	Overexpression caused an increase in mean and median lifespan under normal conditions. A small increase in maximum lifespan was also observed. In contrast, the dprx5 (-/-) null flies were comparatively more susceptible to oxidative stress, had higher incidence of apoptosis, and a shortened mean life span. For the dprx5 (-/-) null flies there were no significant differences in maximum age (10% survival).	pro		30	Overexpression	
876	43991	Pten	CG5671 gene product from transcript CG5671-RB	Drosophila melanogaster		FBgn0026379		CG5671 Dmel\CG5671 dpten dPten dPTEN DPTEN pten PT	increase	Lifespan of flies with increased Pten and 4E-BP activity in muscles is extended in comparison with matched controls.	pro	7.7	12.7	Overexpression	
522	40958	puc	puckered	Drosophila melanogaster	Dm.2978	FBgn0243512		0238/03 1351/08 CG7850 Dmel\CG7850 hrt JNK-DSP l(3	increase	Heterozygous loss-of-function mutations extend lifespan and increase resistance to oxidative stress.	anti			Mutation	
541	31381	rb	ruby	Drosophila melanogaster	Dm.1682	FBgn0003210		AP-3beta beta3 cg11427 CG11427 Dmel\CG11427 Rb	decrease	Loss-of-function mutation reduces maximum lifespan by 23%.	pro	23		Mutation	
877	33498	Rbp9	RNA-binding protein 9	Drosophila melanogaster		FBgn0010263		CG15402 CG3151 Dmel\CG3151 fes fs(2)B rbp Rbp10 rb	decrease	Longevity was significantly decreased in Rbp9 mutants compared with the control.	pro		33	Mutation	
1929	31826	rdgA	retinal degeneration A	Drosophila melanogaster					increase	Knockdown of rdgA in flies results in increased mean lifespan by up to 44%. Similarly, rdgA mutants display increased mean lifespans of up to 53%. Simultaneous overexpression of DAGL (known lifespan extension intervention) and rdgA knockdown do not further extend lifespan of that achieved by either manipulation independently, suggesting the two interventions work through similar mechanisms.	anti		44	RNA interference	
543	2769007	Rdh	CG14975-PA	Drosophila melanogaster		FBgn0064227		CG14975 Dmel\CG14975	increase	Overexpression results in a 6-8% increase in mean lifespan.	pro		8	Overexpression	
547	36281	rho-7	rhomboid-7	Drosophila melanogaster	Dm.2694	FBgn0033672		anon-WO0138581.3 CG8972 Dmel\CG8972 PARL Rhomboid-	decrease	Knockout flies have severe neurological defects and a much reduced lifespan.	pro			Knockout	
556	38565	Rpd3	CG7471-PA	Drosophila melanogaster	Dm.2976	FBgn0015805		CG7471 dHDAC-1 dHDAC1 DHDAC1 Dmel\CG7471 dmHDA401 	increase	Mutations extend lifespan by 33% in males and 52% in females.	anti		52	Mutation	
1847	246599	Rpi	Ribose-5-phosphate isomerase	Drosophila melanogaster				CG30410 CG9872 Dmel\CG30410 rpi	increase	Drosophila strain with reduced expression of ribose-5-phosphate isomerase (rpi), EP2456, exhibits increased resistance to oxidative stress and enhanced lifespan. In addition, the strain also displays higher levels of NADPH. The knockdown of rpi in neurons by double-stranded RNA interference recapitulated the lifespan extension and oxidative stress resistance in Drosophila. Whole organism silencing resulted in an increased lifespan by 8-14%, while neuronal silencing led to a 25-38% increase in mean lifespan.	anti		38	RNA interference	
2238	40002	RpIIIC53	RNA polymerase III subunit C53	Drosophila melanogaster					increase	Flies with a heterozygous mutation in CG5147 (a subunit of Pol III) demonstrated an 11% increase in median lifespan. Homozygous mutants weren't viable. Gut specific inhibition of CG5147 also increased lifespan in females. 	anti		11	Mutation	
581	32406	rut	rutabaga	Drosophila melanogaster	Dm.2613	FBgn0003301		AC Ac12F CG9533 Dmel\CG9533 EP1603 Rut RUT Rut-AC	decrease	Two rutabaga mutants, rut1 and rut2080, had significantly shortened lifespans.	pro			Mutations	
582	41605	ry	rosy	Drosophila melanogaster	Dm.2436	FBgn0003308		CG7642 Dmel\CG7642 xdh Xdh XDH Xdh/ry XOR	decrease	Loss-of-function mutation reduces maximum lifespan by 35%.	pro	35		Mutation	
583	38654	S6k	RPS6-p70-protein kinase	Drosophila melanogaster	Dm.856	FBgn0015806		10539 7084 CG10539 Dmel\CG10539 dp70s6k Dp70s6k Dp	increase	Expression of a dominant-negative form extended lifespan.	anti			Dominant negative mutation	
589	31129	Scgdelta	Sarcoglycan delta	Drosophila melanogaster	Dm.18	FBgn0025391		BEST:GH21860 CG14808 CT34621 Dmel\CG14808 DmSCG-ga	decrease	Deletion has detrimental effects on the flight muscles of adult animals and heart function. Median lifespan was reduced 15-30%.	pro		30	Deletion	
593	35590	SdhB	Succinate dehydrogenase B	Drosophila melanogaster	Dm.497	FBgn0014028		CG3283 Dmel\CG3283 Ip SDH SDH-Ip SDH-IP sdhB SDHb	decrease	Mutant males are hypersensitive to oxygen and displays signs of premature ageing, including a 66% decrease in mean lifespan and a 17% decrease in maximum lifespan.	pro	17	66	Mutation	
594	41340	SdhC	succinate dehydrogenase, cytochrome b556 subunit	Drosophila melanogaster	Dm.20575	FBgn0037873		BcDNA:RH04289 CG6666 Dmel\CG6666 sdhC	decrease	Mutants expressing a dominant negative form of sdhC in the nervous system had a 22% reduced mean lifespan and signs of oxidative stress induction.	pro		22	Dominant negative mutation	
605	34708	Sir2	CG5216-PA	Drosophila melanogaster	Dm.415	FBgn0024291		BEST:LD38188 CG5216 D.mel1 Dmel\CG5216 dmSRT406 ds	increase	Overexpression of dSir2 extends lifespan by up to 57%, whereas a decrease in dSir2 blocks the life-extending effect of caloric reduction or rpd3 mutations.	pro		57	Overexpression	
605	34708	Sir2	CG5216-PA	Drosophila melanogaster	Dm.415	FBgn0024291		BEST:LD38188 CG5216 D.mel1 Dmel\CG5216 dmSRT406 ds	decrease	Decreased expression of the Sir2 and Sir2-like genes in all cells caused lethality during development. Suppression of the Sir2 in neurons (10-30% median lifespan reduction) and ubiquitous silencing of the Sir2-like genes shortened lifespans. The effects were severer at 28 C than at 25 C. These results suggest that Sir2-like genes as well as Sir2 are involved in the regulation of lifespan in Drosophila.	pro		30	RNA interference	
605	34708	Sir2	CG5216-PA	Drosophila melanogaster	Dm.415	FBgn0024291		BEST:LD38188 CG5216 D.mel1 Dmel\CG5216 dmSRT406 ds	increase	Moderate (3-fold) Sir2 overexpression in the fat body during adulthood only can promote longevity in both sexes by roughly 13%.	pro		13	Overexpression	
605	34708	Sir2	CG5216-PA	Drosophila melanogaster	Dm.415	FBgn0024291		BEST:LD38188 CG5216 D.mel1 Dmel\CG5216 dmSRT406 ds	noeffect	Overexpression of dSir2 did not result in increased lifespan when using the appropriate transgenic controls.	none	
609	42414	Sirt2	CG5085-PA	Drosophila melanogaster	Dm.6044	FBgn0038788		CG5085 D.mel2 Dmel\CG5085 dSIRT2 SIRT2	decrease	Decreased expression by RNA interference caused lethality during development. Silencing in neurons shortened mean lifespan by 20%.	pro		20	RNA interference	
2235	31480	Sirt4	Sirtuin 4	Drosophila melanogaster					increase	Flies overexpressing Sirt4 demonstrated a 20% increase in median lifespan compared to controls. Specific expression of Sirt4 in the fat body resulted in increased lifespan in males and females. Sirt4 knockout flies are short-lived compared to controls and had a 28% decrease in median lifespan in females and a 17% decrease in median lifespan in males. 	pro		20	Overexpression	
611	41254	Sirt6	CG6284-PB	Drosophila melanogaster	Dm.24872	FBgn0037802		CG6284 D.mel4 Dmel\CG6284 dmSRT408 dSIRT6	decrease	Decreased expression by RNA interference caused lethality during development. Silencing in neurons shortened mean lifespan by 20%.	pro		20	RNA interference	
1904	31738	Smox	Smad on X	Drosophila melanogaster					increase	Post developmental RNA interference of Smox in the whole body increases lifespan by up to 10%. Tissue specific RNA interference also increases lifespan in muscle (16%) but not in adipose tissue (where it decreases lifespan). 	anti		10	Post developmental RNA interference	
1846	43904	SNF1A	SNF1A/AMP-activated protein kinase	Drosophila melanogaster				ampk AMPK ampkalpha AMPKalpha CG3051 dAMPKa dAMPKa		Transgenic expression of AMPK in adult fat body or adult muscle, key metabolic tissues, extended life span, while AMPK RNAi reduced life span. Supplementing adenine, a substrate for AMP biosynthesis, to the diet of long-lived AMP biosynthesis mutants reversed life span extension.	pro			Overexpression	
1846	43904	SNF1A	SNF1A/AMP-activated protein kinase	Drosophila melanogaster				ampk AMPK ampkalpha AMPKalpha CG3051 dAMPKa dAMPKa		Transgenic expression of AMPK in adult fat body or adult muscle, key metabolic tissues, extended life span, while AMPK RNAi reduced life span. Supplementing adenine, a substrate for AMP biosynthesis, to the diet of long-lived AMP biosynthesis mutants reversed life span extension.	pro			RNA interference	
1846	43904	SNF1A	SNF1A/AMP-activated protein kinase	Drosophila melanogaster				ampk AMPK ampkalpha AMPKalpha CG3051 dAMPKa dAMPKa	increase	Adult-onset, neuron-specific upregulation of the catalytic alpha AMPK subunit results in increased median lifespan in female flies and has variable effects on male lifespan. This longevity effect is dependent on Atg1 gene activity. 	pro		20	Overexpression	
878	42515	SNF4Agamma	SNF4/AMP-activated protein kinase gamma subunit	Drosophila melanogaster		FBgn0264357		0050/42 0127/19 AMPgamma AMPKgamma anon-WO0118547.	decrease	Depletion of SNF4A gamma from the first day of imaginal stage shortens life span in Drosophila and causes morphological and behavioral features of premature aging.	pro		23	RNA interference	
879	31704	snz	snazarus (sorting nexin lazarus)	Drosophila melanogaster		FBgn0029976		CG1514 Dmel\CG1514 Snz	increase	Up to 50% increase in maximal lifespan in both sexes compared to control	anti	66	85	Mutations	
622	39251	Sod	Superoxide dismutase	Drosophila melanogaster	Dm.926	FBgn0003462		CG11793 cSod cSOD Cu Cu-Zn SOD Cu/Zn sod Cu/Zn SOD	increase	Overexpression of catalase and Sod1 resulted in a one-third lifespan extension, a slower rate of mortality acceleration, and a delayed loss in physical performance.	pro		33	Overexpression	
622	39251	Sod	Superoxide dismutase	Drosophila melanogaster	Dm.926	FBgn0003462		CG11793 cSod cSOD Cu Cu-Zn SOD Cu/Zn sod Cu/Zn SOD	decrease	Mutant flies displayed infertility and a reduction in lifespan.	pro			Mutation	
622	39251	Sod	Superoxide dismutase	Drosophila melanogaster	Dm.926	FBgn0003462		CG11793 cSod cSOD Cu Cu-Zn SOD Cu/Zn sod Cu/Zn SOD	increase	Cu/ZnSOD overexpression extended the mean lifespan by up to 48%. Simultaneous overexpression of catalase with Cu/ZnSOD had no added benefit, presumably due to a preexisting excess of catalase.	pro		48	Overexpression	
624	36878	Sod2	Superoxide dismutase 2 (Mn)	Drosophila melanogaster	Dm.4800	FBgn0010213		CG8905 Dmel\CG8905 dSOD2 Mito SOD mitSOD2 Mn SOD M	decrease	RNA interference results in increased oxidative stress and early-onset mortality in young adults.	pro			RNA interference	
624	36878	Sod2	Superoxide dismutase 2 (Mn)	Drosophila melanogaster	Dm.4800	FBgn0010213		CG8905 Dmel\CG8905 dSOD2 Mito SOD mitSOD2 Mn SOD M	increase	Gene overexpression resulted in a 20% increase in mean and maximal  lifespan.	pro	20	20	Overexpression	
1740	40562	Spargel	Spargel	Drosophila melanogaster		FBgn0037248		CG 9809 cg9809 CG9809 Dmel\CG9809 dPGC dPGC-1 PGC-	increase	Tissue-specific overexpression of dPGC-1 in stem and progenitor cells within the digestive tract of female flies extends lifespan. Flies display a delay in the onset of aging-related changes in the intestine, leading to improved tissue homeostasis in old flies.	pro	37	33	Overexpression in stem and progenitor cells	
1817	42428	Stat92E	Signal-transducer and activator of transcription protein at 92E	Drosophila melanogaster				CG4257 d-STAT D-stat D-Stat D-STAT D-stat/stat92E 	decrease	Flies heterozygous for the Stat92E mutation exhibited shortened lifespans compared with wild-type control flies.	pro	30	33	Mutation	
1816	34119	Su(var)205	Suppressor of variegation 205	Drosophila melanogaster				CBX5 CG8409 dHP-1a dHP1 Dmel\CG8409 DmHP-1 DmHP1 E	decrease	Reducing HP1 levels by half, as in Su(var)2055 heterozygotes, caused a dramatic shortening of life span compared to isogenic controls (p = 2.03-86). Similar results were found with a second allele, Su(var)2052.	pro	55	60	Mutation	
1816	34119	Su(var)205	Suppressor of variegation 205	Drosophila melanogaster				CBX5 CG8409 dHP-1a dHP1 Dmel\CG8409 DmHP-1 DmHP1 E	increase	A moderate overexpression of HP1, caused by basal activity of the hsp70 promoter, significantly extended life span, resulting in a 23% increase in median life span and a 12% increase in maximum life span (p = 6.31-24).	pro	12	23	Overexpression	
634	36424	sug	sugarbabe	Drosophila melanogaster	Dm.591	FBgn0033782		CG3850 Dmel\CG3850	increase	Overexpression results in a 5-9% increase in mean lifespan.	pro		9	Overexpression	
635	44046	sun	Stunted	Drosophila melanogaster	Dm.20296	FBgn0014391		ATP5E BcDNA:RE19513 BcDNA:RH48911 CG9032 Dmel\CG90	increase	Mutations increase lifespan and resistance to oxidative stress.	anti			Mutations	
636	44498	Surf1	surfeit gene 1	Drosophila melanogaster	Dm.1439	FBgn0029117		BcDNA:GH23574 CG9943 Dmel\CG9943	increase	Knockdown resulted in larval lethality. However, knockdown in the CNS not only bypassed the larval lethality but it resulted in an increase in maximum lifespan of about 20-30%.	anti	30		Knockout	
2086	39048	teq	Tequila	Drosophila melanogaster					increase	Flies with a Tequila mutation (Teq f01792) had a 31% increase in mean lifespan. Both male and female flies were smaller and had reduced body weight. Downregulation of Tequila in insulin-producing neurons also significantly extended lifespan. 	anti		31	Mutation	
880	33569	Thor	CG8846 gene product from transcript CG8846-RA	Drosophila melanogaster		FBgn0261560		153432_at 43-BP 4e-bp 4E-BP 4E-BP1 4ebp 4eBP 4EBP 	increase	Lifespan of flies with increased Pten and 4E-BP activity in muscles is extended in comparison with matched controls.	pro	15.8	20	Overexpression	
880	33569	Thor	CG8846 gene product from transcript CG8846-RA	Drosophila melanogaster		FBgn0261560		153432_at 43-BP 4e-bp 4E-BP 4E-BP1 4ebp 4eBP 4EBP 	increase	Null mutant flies show a diminished change in lifespan in response to dietary restriction, which can be rescued upon ubiquitously expression of wild-type Thor (d4E-BP). Overexpression of wild type 4E-BP caused no change in lifespan of males or females on rich food, while overexpression of a weak activated allele extended mean lifespan of females 14% (no significant extension in male flies). Induction of a strong allele extended male lifespan 11% and female lifespan 22% on rich food. Under dietary restriction, there was no additional lifespan extension. 	pro		22	Overexpression	
881	43036	to	takeout	Drosophila melanogaster		FBgn0039298		CG11853 CT33074 Dmel\CG11853	increase	Overexpression of takeout in adult neurons, pericerbral fat body or abdominal fat body extends male and female life span. Expression of takeout in the adult nervous system leads to aproximately 25% increase in mean longevity. Flies expressing takeout in the head fat body have 20% extension of mean lifespan, while takeout expression in the abdominal fat body extends fly life span by 12-18%.	pro	23	26	Overexpression	
2108	35236	Top3alpha	Topoisomerase 3alpha	Drosophila melanogaster					decrease	Mutant M1L flies, which lack mitochondrial Top3alpha, show decreased median and maximum lifespan when compared to wild type flies. The flies demonstrated a premature ageing phenotype, had mobility defects, and exhibited elevated levels of mitochondrial degeneration. 	pro	25	20	Mutation	
678	47396	Tor	Target of rapamycin	Drosophila melanogaster	Dm.1502	FBgn0021796		5092 CG5092 CT16317 CT24745 CT24817 Dmel\CG5092 Dm	increase	Expression of a dominant-negative form extended lifespan.	anti			Dominant negative mutation	
2088	38065	trh	trachealess	Drosophila melanogaster					increase	Flies were subjected to several control diets: sucrose only, yeast only and fixed diet. Flies were also subjected to a choice diet. When trh mutant animals were aged in a choice environment there was a 90% increase in mean lifespan.	anti		90	Deletion	
685	34281	Trx-2	thioredoxin-2	Drosophila melanogaster	Dm.2664	FBgn0040070		31884 anon-WO0118547.188 CG31884 CG3864 DmelTrx-2 	decrease	Mutants have a 25% reduction in maximum lifespan and exhibited lower tolerance to oxidative stress while animals carrying multiple copies of Trx-2 exhibited higher tolerance.	pro	25		Mutation	
327	31760	Trxr-1	Thioredoxin reductase-1	Drosophila melanogaster				2151 anon-WO03040301.185 anon-WO03040301.187 CG215	increase	Overexpression of glutathione reductase (GSR) in transgenic flies resulted in increased lifespan and oxidative stress resistance, but only under hyperoxia. Glutathione reductase is now recognized to be performed by thioredoxin reductase-1 (Trxr-1) since Drosophila do not have a GSR gene.	pro			Overexpression	
686	31443	TrxT	Thioredoxin T	Drosophila melanogaster	Dm.8001	FBgn0029752		3315 CG3315 DmelTrxT Dmel\CG3315 DmTrxT	increase	Overexpression in neurons increased the level of locomotor activity in aged flies and extended the mean lifespan by 15%.	pro		15	Overexpression	
687	42862	Tsc1	CG6147-PA Tuberous sclerosis complex genes 1	Drosophila melanogaster	Dm.3097	FBgn0026317		CG6147 Dmel\CG6147 dTSC dTSC-1 dTsc1 dTSC1 rocky T	increase	Overexpression leads to lifespan extension.	pro			Overexpression	
1901	35615	Tsp42Ef	Tetraspanin 42Ef	Drosophila melanogaster					increase	Post developmental RNA interference of Tsp42Ef increases lifespan.	anti		18.2	Post developmental RNA interference	
695	7351	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	Drosophila melanogaster				UCPH BMIQ4 SLC25A8	increase	Overexpression of human UCP2 in the fly nervous system extended lifespan by 10-30%. Ubiquitous overexpression was lethal.	pro		30	Overexpression	
716	34997	VhaSFD	Vacuolar H+-ATPase SFD subunit	Drosophila melanogaster	Dm.7517	FBgn0027779		144191_at ATP6V1H CG17332 Dmel\CG17332 V-ATPase vh	increase	Overexpression results in a 5-10% increase in mean lifespan.	pro		10	Overexpression	
2083	31201	Vinc	Vinculin	Drosophila melanogaster					increase	Cardiac-restricted Vinc overexpression lead to a increased median lifespan of up to 150% in flies. The cortical cytoskeleton was reinforced, along with enhanced myofilament organisation. These results suggested the heart has molecular mechanisms to promote longevity. 	pro	169	150	Overexpression	
882	43508	yata	CG1973 gene product from transcript CG1973-RA	Drosophila melanogaster		FBgn0260990		CG1973 Dmel\CG1973 Yata	decrease	68% maximal lifespan shortening, progressive deterioration of the nervous tissues and aberrant accumulation of Sec23p.	pro			Mutations	
883	32974	Zw	Zwischenferment	Drosophila melanogaster		FBgn0004057		CG12529 Dmel\CG12529 G-6-PD G-6-pdh G-6pd G-6PD G6	increase	The mean lifespans of G6PD overexpressor flies were extended, in comparison with driver and responder controls, as follows: armadillo-GAL4 (up to 38%), Tubulin-GAL4 (up to 29%), C23-GAL4 (up to 27%), da-GAL4 (up to 24%), D42-GAL4 (up to 18%), and Appl-GAL4 (up to 16%). Maximum lifespan was also increased. The G6PD enzymatic activity was increased, as were the levels of NADPH, NADH, and the GSH/GSSG ratio.	pro		38	Overexpression	
